DAY,TIME,WIND_DIR,WIND_SPEED,TEMP,QNH
06,1700Z,230.0,3.0,29.0,1009.0
06,1730Z,230.0,4.0,28.0,1009.0
06,1800Z,240.0,3.0,28.0,1009.0
06,1830Z,0.0,0.0,28.0,1009.0
06,1900Z,0.0,0.0,28.0,1009.0
06,1930Z,0.0,0.0,28.0,1009.0
06,2000Z,0.0,0.0,28.0,1009.0
06,2030Z,0.0,0.0,28.0,1008.0
06,2100Z,0.0,0.0,28.0,1008.0
06,2130Z,0.0,0.0,28.0,1008.0
06,2200Z,50.0,3.0,28.0,1008.0
06,2230Z,0.0,0.0,27.0,1008.0
06,2300Z,0.0,0.0,27.0,1008.0
06,2330Z,0.0,0.0,27.0,1008.0
07,0000Z,0.0,0.0,27.0,1008.0
07,0030Z,0.0,0.0,26.0,1008.0
07,0100Z,0.0,0.0,26.0,1009.0
07,0130Z,0.0,0.0,26.0,1009.0
07,0230Z,0.0,0.0,28.0,1010.0
07,0300Z,0.0,0.0,29.0,1010.0
07,0330Z,0.0,0.0,31.0,1011.0
07,0400Z,0.0,0.0,32.0,1011.0
07,0500Z,250.0,5.0,33.0,1011.0
07,0530Z,250.0,7.0,32.0,1010.0
07,0600Z,260.0,6.0,33.0,1010.0
07,0700Z,230.0,8.0,33.0,1009.0
07,0730Z,240.0,8.0,33.0,1009.0
07,0800Z,250.0,10.0,33.0,1008.0
07,0830Z,250.0,11.0,33.0,1007.0
07,0900Z,250.0,11.0,34.0,1007.0
07,1000Z,300.0,11.0,35.0,1006.0
07,1030Z,310.0,9.0,35.0,1005.0
07,1100Z,330.0,8.0,36.0,1005.0
07,1130Z,320.0,10.0,35.0,1005.0
07,1300Z,280.0,10.0,33.0,1005.0
07,1400Z,290.0,8.0,32.0,1006.0
07,1430Z,290.0,5.0,32.0,1007.0
07,1500Z,240.0,3.0,32.0,1007.0
07,1530Z,280.0,8.0,31.0,1008.0
07,1600Z,280.0,9.0,30.0,1008.0
07,1630Z,280.0,8.0,30.0,1009.0
07,1700Z,310.0,6.0,30.0,1009.0
07,1730Z,300.0,5.0,30.0,1009.0
07,1800Z,300.0,5.0,30.0,1009.0
07,1830Z,300.0,3.0,30.0,1009.0
07,1900Z,0.0,0.0,29.0,1009.0
07,1930Z,0.0,0.0,28.0,1008.0
07,2000Z,0.0,0.0,29.0,1008.0
07,2030Z,0.0,0.0,28.0,1008.0
07,2100Z,0.0,0.0,29.0,1008.0
07,2130Z,0.0,0.0,28.0,1007.0
07,2200Z,0.0,0.0,28.0,1007.0
07,2230Z,0.0,0.0,28.0,1008.0
07,2300Z,0.0,0.0,27.0,1008.0
07,2330Z,0.0,0.0,26.0,1008.0
08,0000Z,0.0,0.0,26.0,1008.0
08,0030Z,0.0,0.0,26.0,1009.0
08,0100Z,0.0,0.0,28.0,1009.0
08,0130Z,0.0,0.0,27.0,1009.0
08,0200Z,0.0,0.0,27.0,1010.0
08,0230Z,0.0,0.0,29.0,1010.0
08,0300Z,0.0,0.0,30.0,1010.0
08,0330Z,0.0,0.0,31.0,1011.0
08,0400Z,0.0,0.0,32.0,1011.0
08,0430Z,80.0,3.0,33.0,1011.0
08,0500Z,100.0,3.0,34.0,1011.0
08,0530Z,220.0,5.0,34.0,1011.0
08,0600Z,280.0,6.0,34.0,1011.0
08,0630Z,270.0,8.0,33.0,1010.0
08,0700Z,280.0,9.0,33.0,1010.0
08,0730Z,270.0,9.0,33.0,1009.0
08,0800Z,270.0,8.0,33.0,1009.0
08,0830Z,280.0,9.0,34.0,1008.0
08,0900Z,280.0,9.0,33.0,1008.0
08,0930Z,300.0,11.0,33.0,1007.0
08,1000Z,310.0,10.0,33.0,1007.0
08,1030Z,300.0,11.0,33.0,1007.0
08,1100Z,300.0,11.0,32.0,1006.0
08,1130Z,310.0,9.0,33.0,1006.0
08,1200Z,310.0,8.0,33.0,1006.0
